Model,Accuracy,Precision,Recall,F1,ROC_AUC
XGBoost,0.957,0.9331352154531947,0.9387144992526159,0.9359165424739195,0.992393639541844
Decision Tree,0.9135,0.8636363636363636,0.8804185351270553,0.8719467061435974,0.9535751466411512
Logistic Regression,0.7865,0.7184115523465704,0.5949177877428998,0.6508585445625511,0.8543066959106687
